circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
NALGONDA,NALGONDA,NALGONDA RURAL,THIPPARTHY,ANISETTY DUPPALAPALL,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,2.0,171.0,3.75
NALGONDA,NALGONDA,NALGONDA RURAL,THIPPARTHY,ERRAGADLAGUDEM,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,165.0,1.5
NALGONDA,DEVARAKONDA,NAMPALLY,GURRAMPODU,PALWAI,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,1506.0,3.0
NALGONDA,DEVARAKONDA,NAMPALLY,GURRAMPODU,TANEDARPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,0.0,2.25
NALGONDA,NALGONDA,NAKREKAL,SHALIGOWRARAM,ITUKULAPADU,COTTAGE INDUSTRIES AND DHOBIGHATS,4,4,2.0,263.0,11.25
NALGONDA,NALGONDA,NAKREKAL,SHALIGOWRARAM,MADARAM,COTTAGE INDUSTRIES AND DHOBIGHATS,4,3,3.0,90.0,6.0
NALGONDA,NALGONDA,NAKREKAL,SHALIGOWRARAM,MANIMADDA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,300.0,2.25
NALGONDA,NALGONDA,NAKREKAL,SHALIGOWRARAM,SHALI GOWRARAM,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,3.38
NALGONDA,DEVARAKONDA,NAMPALLY,MARRIGUDA,ANTHAMPET,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,2.0,126.0,3.0
NALGONDA,DEVARAKONDA,NAMPALLY,MARRIGUDA,MARRIGUDA(HQ),COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,10.0,0.94
NALGONDA,NALGONDA,NAKREKAL,SHALIGOWRARAM,VALLALA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,3.75
NALGONDA,DEVARAKONDA,NAMPALLY,MARRIGUDA,SARAMPET,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,2.0,174.0,0.89
NALGONDA,DEVARAKONDA,NAMPALLY,MARRIGUDA,SHIVANNAGUDA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,8.0,3.0
NALGONDA,DEVARAKONDA,NAMPALLY,MARRIGUDA,TAMMADAPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,102.0,0.75
NALGONDA,DEVARAKONDA,NAMPALLY,MARRIGUDA,TANDERPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,37.0,0.75
NALGONDA,DEVARAKONDA,NAMPALLY,MARRIGUDA,TIRUGANDLAPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,2.0,128.0,1.68
