District,Mandal,Date,Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Bheempoor,2024-04-10,0.0,7.5
Adilabad,Bheempoor,2024-04-11,4.5,13.4
Adilabad,Bheempoor,2024-04-12,1.6,8.2
Adilabad,Bheempoor,2024-04-13,0.0,17.6
Adilabad,Bheempoor,2024-04-14,0.0,9.0
Adilabad,Bheempoor,2024-04-15,0.0,3.3
Adilabad,Bheempoor,2024-04-16,0.0,3.6
Adilabad,Bheempoor,2024-04-17,0.0,4.1
Adilabad,Bheempoor,2024-04-18,0.0,5.2
Adilabad,Bheempoor,2024-04-19,0.0,12.7
Adilabad,Bheempoor,2024-04-20,0.0,9.1
Adilabad,Bheempoor,2024-04-21,0.0,8.4
Adilabad,Bheempoor,2024-04-22,0.0,11.3
Adilabad,Bheempoor,2024-04-23,2.4,10.8
Adilabad,Bheempoor,2024-04-24,3.3,27.0
Adilabad,Bheempoor,2024-04-25,0.0,6.2
Adilabad,Bheempoor,2024-04-26,0.0,5.3
Adilabad,Bheempoor,2024-04-27,0.0,17.8
Adilabad,Bheempoor,2024-04-28,0.0,9.5
Adilabad,Bheempoor,2024-04-29,0.0,6.3
Adilabad,Bheempoor,2024-04-30,0.0,7.6
Adilabad,Boath,2024-04-01,0.0,13.4
Adilabad,Boath,2024-04-02,0.0,8.4
Adilabad,Boath,2024-04-03,2.8,7.2
Adilabad,Boath,2024-04-04,0.0,7.1
Adilabad,Boath,2024-04-05,0.0,9.7
Adilabad,Boath,2024-04-06,0.0,10.7
Adilabad,Boath,2024-04-07,0.0,12.2
Adilabad,Boath,2024-04-08,0.0,14.2
Adilabad,Boath,2024-04-09,0.0,15.4
Adilabad,Boath,2024-04-10,0.0,17.9
Adilabad,Boath,2024-04-11,0.0,12.5
Adilabad,Boath,2024-04-12,0.0,13.8
Adilabad,Boath,2024-04-13,0.0,13.5
Adilabad,Boath,2024-04-14,0.0,7.4
Adilabad,Boath,2024-04-15,0.0,10.7
Adilabad,Boath,2024-04-16,0.0,12.1
Adilabad,Boath,2024-04-17,0.0,6.5
Adilabad,Boath,2024-04-18,0.0,11.2
Adilabad,Boath,2024-04-19,0.0,9.6
Adilabad,Boath,2024-04-20,0.0,14.6
Adilabad,Boath,2024-04-21,0.0,14.7
Adilabad,Boath,2024-04-22,0.0,11.7
Adilabad,Boath,2024-04-23,0.0,9.6
Adilabad,Boath,2024-04-24,0.0,13.3
Adilabad,Boath,2024-04-25,0.0,12.1
Adilabad,Boath,2024-04-26,0.0,13.3
Adilabad,Boath,2024-04-27,0.0,11.5
Adilabad,Boath,2024-04-28,0.0,11.7
Adilabad,Boath,2024-04-29,0.0,10.2
Adilabad,Boath,2024-04-30,0.0,11.3
Adilabad,Gadiguda,2024-04-01,0.0,7.6
Adilabad,Gadiguda,2024-04-02,0.0,6.4
Adilabad,Gadiguda,2024-04-03,0.0,7.6
Adilabad,Gadiguda,2024-04-04,0.0,9.1
Adilabad,Gadiguda,2024-04-05,0.0,9.9
Adilabad,Gadiguda,2024-04-06,0.0,7.6
Adilabad,Gadiguda,2024-04-07,0.0,16.5
Adilabad,Gadiguda,2024-04-08,2.6,13.3
Adilabad,Gadiguda,2024-04-09,0.0,14.5
Adilabad,Gadiguda,2024-04-10,0.0,7.6
Adilabad,Gadiguda,2024-04-11,0.9,10.2
Adilabad,Gadiguda,2024-04-12,0.0,11.8
Adilabad,Gadiguda,2024-04-13,0.0,12.2
Adilabad,Gadiguda,2024-04-14,0.0,9.3
Adilabad,Gadiguda,2024-04-15,0.0,9.4
Adilabad,Gadiguda,2024-04-16,0.0,8.0
Adilabad,Gadiguda,2024-04-17,0.0,8.2
Adilabad,Gadiguda,2024-04-18,0.0,8.4
Adilabad,Gadiguda,2024-04-19,0.0,9.5
Adilabad,Gadiguda,2024-04-20,0.0,14.5
Adilabad,Gadiguda,2024-04-21,0.0,12.3
Adilabad,Gadiguda,2024-04-22,0.0,9.7
Adilabad,Gadiguda,2024-04-23,0.0,10.7
Adilabad,Gadiguda,2024-04-24,0.0,14.9
Adilabad,Gadiguda,2024-04-25,0.0,7.9
Adilabad,Gadiguda,2024-04-26,0.0,8.5
Adilabad,Gadiguda,2024-04-27,0.0,11.3
Adilabad,Gadiguda,2024-04-28,0.0,11.6
Adilabad,Gadiguda,2024-04-29,0.0,9.1
