District,Mandal,Date,Min Wind Speed (Kmph),Max Wind Speed (Kmph),Min Wind Speed (Kmph)_outlier_flag,Max Wind Speed (Kmph)_outlier_flag
Jagtial,Sarangapur,2024-04-13,0.0,6.4,False,False
Jagtial,Sarangapur,2024-04-14,0.0,3.8,False,False
Jagtial,Sarangapur,2024-04-15,0.0,6.1,False,False
Jagtial,Sarangapur,2024-04-16,0.0,9.4,False,False
Jagtial,Sarangapur,2024-04-17,0.0,6.9,False,False
Jagtial,Sarangapur,2024-04-18,0.0,7.8,False,False
Jagtial,Sarangapur,2024-04-19,0.0,5.8,False,False
Jagtial,Sarangapur,2024-04-20,0.0,2.4,False,False
Jagtial,Sarangapur,2024-04-21,0.0,3.2,False,False
Jagtial,Sarangapur,2024-04-22,0.0,5.6,False,False
Jagtial,Sarangapur,2024-04-23,0.0,7.2,False,False
Jagtial,Sarangapur,2024-04-24,0.0,9.9,False,False
Jagtial,Sarangapur,2024-04-25,0.0,6.8,False,False
Jagtial,Sarangapur,2024-04-26,0.0,7.5,False,False
Jagtial,Sarangapur,2024-04-27,0.0,4.3,False,False
Jagtial,Sarangapur,2024-04-28,0.0,7.2,False,False
Jagtial,Sarangapur,2024-04-29,0.0,5.7,False,False
Jagtial,Sarangapur,2024-04-30,0.0,12.0,False,False
Jagtial,Velgatoor,2024-04-01,0.0,10.4,False,False
Jagtial,Velgatoor,2024-04-02,0.0,6.6,False,False
Jagtial,Velgatoor,2024-04-03,0.0,9.5,False,False
Jagtial,Velgatoor,2024-04-04,0.0,10.4,False,False
Jagtial,Velgatoor,2024-04-05,0.0,9.0,False,False
Jagtial,Velgatoor,2024-04-06,0.0,8.4,False,False
Jagtial,Velgatoor,2024-04-07,0.0,6.3,False,False
Jagtial,Velgatoor,2024-04-08,0.0,11.7,False,False
Jagtial,Velgatoor,2024-04-09,0.0,14.1,False,False
Jagtial,Velgatoor,2024-04-10,0.0,14.4,False,False
Jagtial,Velgatoor,2024-04-11,0.0,17.1,False,False
Jagtial,Velgatoor,2024-04-12,0.0,13.1,False,False
Jagtial,Velgatoor,2024-04-13,0.0,14.2,False,False
Jagtial,Velgatoor,2024-04-14,0.0,10.8,False,False
Jagtial,Velgatoor,2024-04-15,0.0,11.3,False,False
Jagtial,Velgatoor,2024-04-16,0.0,11.2,False,False
Jagtial,Velgatoor,2024-04-17,0.0,6.6,False,False
Jagtial,Velgatoor,2024-04-18,0.0,9.6,False,False
Jagtial,Velgatoor,2024-04-19,0.0,8.6,False,False
Jagtial,Velgatoor,2024-04-20,0.0,4.5,False,False
Jagtial,Velgatoor,2024-04-21,0.0,11.3,False,False
Jagtial,Velgatoor,2024-04-22,0.0,12.0,False,False
Jagtial,Velgatoor,2024-04-23,0.0,11.3,False,False
Jagtial,Velgatoor,2024-04-24,0.0,12.7,False,False
Jagtial,Velgatoor,2024-04-25,0.0,9.9,False,False
Jagtial,Velgatoor,2024-04-26,0.0,10.4,False,False
Jagtial,Velgatoor,2024-04-27,0.0,10.8,False,False
Jagtial,Velgatoor,2024-04-28,0.0,13.0,False,False
Jagtial,Velgatoor,2024-04-29,0.0,10.9,False,False
Jagtial,Velgatoor,2024-04-30,0.0,13.2,False,False
Jangaon,Bachannapeta,2024-04-01,0.0,9.5,False,False
Jangaon,Bachannapeta,2024-04-02,0.0,6.9,False,False
Jangaon,Bachannapeta,2024-04-03,2.0,4.0,True,False
